BN Part Number,OEM #,LBS.,,,Pt,Pd,Rh,Pt 100,Pd 100,Rh 100,Pt 97 , Pd 96.5 ,Rh 88,Refining , Treatment Charges,Interest Charges,Gross ,Net,,,,Per Lbs $
LARGE BREAD,24507880,4.158,0.99,4.2,249,5603,436,0.02,0.34,0.03,0.01,0.33,0.02,0.73,3.33,#VALUE!,1101.31,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
LARGE BREAD,24507885,3.4947,0.99,3.53,1224,16,99,0.06,0.00,0.01,0.06,0.00,0.00,0.13,2.80,#VALUE!,128.88,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
LARGE BREAD,24507887,3.6333,0.99,3.67,443,1433,189,0.02,0.08,0.01,0.02,0.07,0.01,0.21,2.91,#VALUE!,319.82,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
LARGE BREAD,24507888,3.6135,0.99,3.65,1693,2637,240,0.09,0.14,0.01,0.09,0.13,0.01,0.46,2.89,#VALUE!,555.20,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
LARGE BREAD,24507889,3.7719,0.99,3.81,1569,25,204,0.09,0.00,0.01,0.08,0.00,0.01,0.19,3.02,#VALUE!,234.82,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
LARGE BREAD,24508102,3.5442,0.99,3.58,481,1393,203,0.02,0.07,0.01,0.02,0.07,0.01,0.21,2.84,#VALUE!,318.94,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
LARGE BREAD,24508103,3.861,0.99,3.9,143,5624,285,0.01,0.32,0.02,0.01,0.31,0.01,0.66,3.09,#VALUE!,907.19,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
LARGE BREAD,24508104,3.7422,0.99,3.78,488,992,190,0.03,0.05,0.01,0.03,0.05,0.01,0.17,2.99,#VALUE!,280.25,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
LARGE BREAD,24508310,4.1283,0.99,4.17,261,5249,272,0.02,0.32,0.02,0.02,0.30,0.01,0.67,3.30,#VALUE!,917.54,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
LARGE BREAD,25131821,3.3165,0.99,3.35,1288,27,113,0.06,0.00,0.01,0.06,0.00,0.00,0.13,2.65,#VALUE!,135.40,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
LARGE BREAD,25143598,3.8907,0.99,3.93,983,24,88,0.06,0.00,0.00,0.05,0.00,0.00,0.12,3.11,#VALUE!,122.97,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
LARGE BREAD,25143634,3.4848,0.99,3.52,1047,12,160,0.05,0.00,0.01,0.05,0.00,0.01,0.12,2.79,#VALUE!,160.27,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
LARGE BREAD,25144158,3.2373,0.99,3.27,1412,36,176,0.07,0.00,0.01,0.06,0.00,0.01,0.15,2.59,#VALUE!,178.03,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
LARGE BREAD,25144762,3.1482,0.99,3.18,1564,23,181,0.07,0.00,0.01,0.07,0.00,0.01,0.16,2.52,#VALUE!,181.63,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
LARGE BREAD,25160527,3.1482,0.99,3.18,1288,14,163,0.06,0.00,0.01,0.06,0.00,0.01,0.13,2.52,#VALUE!,157.54,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
LARGE BREAD,25160636,3.5739,0.99,3.61,1185,17,104,0.06,0.00,0.01,0.06,0.00,0.00,0.13,2.86,#VALUE!,133.38,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
LARGE BREAD,25162377,3.465,0.99,3.5,1436,21,191,0.07,0.00,0.01,0.07,0.00,0.01,0.16,2.77,#VALUE!,200.09,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
LARGE BREAD,25163794,3.6036,0.99,3.64,1386,16,348,0.07,0.00,0.02,0.07,0.00,0.02,0.18,2.88,#VALUE!,313.88,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
LARGE BREAD,25165306,3.564,0.99,3.60,1575,40,201,0.08,0.00,0.01,0.08,0.00,0.01,0.18,2.85,#VALUE!,221.82,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
LARGE BREAD,25165595,3.4749,0.99,3.51,2040,1607,501,0.10,0.08,0.03,0.10,0.08,0.02,0.40,2.78,#VALUE!,612.22,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
LARGE BREAD,25313011,3.1878,0.99,3.22,1743,4814,252,0.08,0.22,0.01,0.08,0.22,0.01,0.61,2.55,#VALUE!,719.16,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
LARGE BREAD,25316458,4.0788,0.99,4.12,128,5261,261,0.01,0.31,0.02,0.01,0.30,0.01,0.65,3.26,#VALUE!,891.78,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
LARGE BREAD,25324392,3.2571,0.99,3.29,366,2233,168,0.02,0.11,0.01,0.02,0.10,0.01,0.25,2.61,#VALUE!,352.49,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
LARGE BREAD,25324393,3.1977,0.99,3.23,377,2363,206,0.02,0.11,0.01,0.02,0.11,0.01,0.26,2.56,#VALUE!,383.12,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
