Lot,Controll #,Pt,Pd,Rh,??,Lot Gross,Lot Net,Lot Per-Lb,$, $-$10 ,,,,,,,
GEO     ,,1.50,1235,1006,298,0.03,0.02,0.01,0.03,0.02,0.01,0.11,1.20,0.69,46.93,45, $ 45.00 
OLD TORPEDO,,6.00,136,597,65,0.01,0.05,0.01,0.01,0.05,0.01,0.13,4.80,0.69,56.52,51, $ 51.00 
4 BOLT TORPEDO NO AIR,,5.71,19,2288,18,0.00,0.19,0.00,0.00,0.18,0.00,0.37,4.57,1.60,153.19,147, $ 147.00 
NEW TORPEDO,,7.00,402,2202,198,0.04,0.22,0.02,0.04,0.22,0.02,0.55,5.60,2.76,230.69,222, $ 222.00 
HOTDOG,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50, $ 50.00 
TWIN,,2.70,1999,5,353,0.08,0.00,0.01,0.08,0.00,0.01,0.18,2.16,1.40,82.17,78, $ 78.00 
SM. CAST,,1.40,1148,98,222,0.02,0.00,0.00,0.02,0.00,0.00,0.06,1.12,0.44,26.31,25, $ 25.00 
LG. CAST,,2.00,1822,12,721,0.05,0.00,0.02,0.05,0.00,0.02,0.14,1.60,1.13,64.87,62, $ 62.00 
Chevy Diesel 12598442,,3.76,2436,2555,1,0.13,0.14,0.00,0.13,0.14,0.00,0.53,3.01,3.12,231.27,225, $ 225.00 
Dodge Attached FRONT 7109AAP,,4.91,1810,393,10,0.13,0.03,0.00,0.13,0.03,0.00,0.31,3.93,2.16,139.72,133, $ 133.00 
Dodge Attached REAR 1749AAP,,13.20,329,5,5,0.06,0.00,0.00,0.06,0.00,0.00,0.13,10.56,0.96,58.66,47, $ 47.00 
Dodge Diesel 3673AAC,,9.29,2407,43,578,0.33,0.01,0.08,0.32,0.01,0.07,0.78,7.43,6.16,360.80,346, $ 346.00 
Dodge Diesel 2196AAP,,9.75,2532,41,748,0.36,0.01,0.11,0.35,0.01,0.09,0.90,7.80,7.12,413.61,398, $ 398.00 
Dodge Diesel 2198AAP,,11.26,1187,14,15,0.19,0.00,0.00,0.19,0.00,0.00,0.39,9.01,2.95,179.60,167, $ 167.00 
Dodge Diesel 7113AAP,,10.73,354,12,5,0.06,0.00,0.00,0.05,0.00,0.00,0.11,8.58,0.85,52.07,43, $ 43.00 
Dodge Diesel 2196ABP,,9.45,2037,30,534,0.28,0.00,0.07,0.27,0.00,0.06,0.68,7.56,5.40,314.79,301, $ 301.00 
Ford Filiter PBC7C34-5F,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,180, $ 180.00 
Ford Filiter7C345F297PBS,,2.85,2076,1675,13,0.09,0.07,0.00,0.08,0.07,0.00,0.30,2.28,1.85,133.29,129, $ 129.00 
Ford Filiter7C345F297PB,,3.17,2173,2608,26,0.10,0.12,0.00,0.10,0.12,0.00,0.43,2.54,2.49,186.86,181, $ 181.00 
Ford Filiter7C34-PBL,,2.99,2563,2726,24,0.11,0.12,0.00,0.11,0.11,0.00,0.45,2.39,2.64,195.59,190, $ 190.00 
Ford Filiter 7C345K282-AA,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,155, $ 155.00 
